"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
,18-Dec,...,"944,198","338,496","605,672",30,"412,237","46,076",147,"2,454,312","1,499,705","807,620","692,048",37
,19-Jan,...,"580,740","249,155","331,532",53,"308,116","31,828",110,"2,769,829","1,448,889","791,387","657,419",83
,19-Feb,...,"640,476","268,639","371,775",62,"294,190","30,748",87,"2,496,615","1,331,755","795,218","536,482",55
,19-Mar,...,"797,206","326,552","470,485",169,"296,522","35,029",439,"3,460,023","2,013,861","1,002,713","1,008,861","2,287"
,19-Apr,...,"897,330","356,968","534,894","5,468","392,668","66,075","3,536","3,025,071","1,858,224","870,214","985,656","2,354"
,19-May,...,"1,274,809","429,789","738,753","106,267","508,495","90,015","39,785","2,671,250","1,699,914","728,183","939,760","31,971"
,19-Jun,...,"1,897,014","622,180","1,118,570","156,264","694,464","115,271","40,110","2,293,192","1,512,610","585,840","909,077","17,693"
,19-Jul,...,"2,341,842","674,480","1,502,298","165,064","822,073","180,149","44,235","2,948,588","2,079,536","599,529","1,456,918","23,089"
,19-Aug,...,"2,327,142","621,114","1,531,711","174,317","774,309","190,924","35,412","3,554,512","2,435,091","673,317","1,734,490","27,284"
,19-Sep,...,"1,390,602","495,617","730,618","164,367","630,294","111,373","69,221","2,590,004","1,712,171","647,359","1,027,158","37,654"
,19-Oct,...,"1,092,132","406,378","603,070","82,684","443,167","80,852","24,983","2,378,845","1,588,473","737,476","841,938","9,059"
,19-Nov,...,"783,931","306,118","477,667",146,"268,041","39,433",387,"2,345,504","1,502,680","801,807","698,473","2,400"
,19-Dec,...,"981,318","377,792","603,352",174,"431,874","46,521",128,"2,530,178","1,536,864","780,191","756,594",79
,20-Jan,...,"620,731","254,354","366,335",42,"317,526","34,084",110,"2,863,767","1,502,707","847,165","655,498",44
,20-Feb,...,"699,976","268,327","431,559",90,"276,966","26,136",166,"2,667,286","1,450,606","843,517","607,000",89
,20-Mar,...,"308,399","123,497","184,827",75,"128,270","12,722",75,"2,368,841","1,348,145","632,272","715,778",95
,20-Apr,...,"9,617","1,657","7,944",16,"12,076","1,905",23,"71,237","41,927","8,587","33,321",19
,20-May,...,"16,431","2,568","13,801",62,"9,585","1,983",45,"56,003","29,682","7,801","21,829",52
,20-Jun,...,"32,198","6,427","25,555",216,"15,641","2,641",115,"75,882","40,024","13,910","25,997",117
,20-Jul,...,"40,460","9,175","31,152",133,"24,130","3,123",74,"106,512","53,169","23,680","29,367",122
,20-Aug,...,"44,976","11,985","32,836",155,"33,092","3,526",39,"155,371","64,783","31,381","33,300",102
,20-Sep,...,"36,947","10,401","26,391",155,"30,483","3,126",37,"129,351","54,935","29,028","25,813",94
,20-Oct,...,"36,726","11,161","25,507",58,"23,366","2,927",11,"136,429","64,166","35,707","28,410",49
,20-Nov,...,"34,255","12,565","21,676",14,"24,742","2,947",29,"147,072","73,826","46,534","27,289",3
,20-Dec,...,"48,073","19,068","29,001",4,"36,636","2,732",7,"193,174","84,918","54,671","30,231",16
,21-Jan,...,"26,300","9,697","16,601",2,"31,254","2,409",13,"252,568","92,046","63,512","28,533",1
,21-Feb,...,"19,247","5,204","14,038",5,"22,825","2,566",21,"131,700","52,104","27,911","24,177",16
,21-Mar,...,"24,525","3,633","20,873",19,"24,036","2,657",11,"99,554","50,708","15,482","35,180",46
,21-Apr,...,"26,434","4,032","22,310",92,"31,579","2,456",16,"137,326","82,261","19,214","62,984",63
,21-May,...,"35,889","4,474","30,962",453,"22,696","3,096",24,"146,474","95,095","22,314","72,652",129
,21-Jun,...,"45,297","6,557","38,325",415,"29,341","3,687",77,"146,321","85,133","21,749","63,176",208
,21-Jul,...,"108,809","34,780","73,713",316,"57,800","4,284",148,"304,947","163,644","87,810","75,648",186
,21-Aug,...,"374,418","86,781","285,719","1,918","85,211","4,185",242,"606,385","264,659","163,365","101,023",271
,21-Sep,...,"375,858","113,140","261,562","1,156","146,688","4,498",306,"550,363","236,763","168,813","67,588",362
,21-Oct,...,"342,138","122,792","219,097",249,"154,460","4,227",314,"610,350","308,902","243,467","65,353",82
,21-Nov,...,"303,209","117,729","185,434",46,"113,192","5,660",185,"864,283","497,381","313,847","183,464",70
,21-Dec,...,"411,289","166,732","244,511",46,"200,266","8,255",146,"1,103,770","600,326","323,609","276,687",30
,22-Jan,...,"134,594","54,828","79,627",139,"73,262","4,274",23,"893,223","436,208","250,121","185,956",131
,22-Feb,...,"215,840","81,941","133,628",271,"98,184","4,441",54,"811,822","430,705","267,067","163,439",199
,22-Mar,...,"327,625","141,500","185,491",634,"137,148","8,420",42,"1,626,214","947,799","534,462","413,063",274
,22-Apr,...,"486,165","172,181","301,691","12,293","213,895","19,113","1,008","1,949,532","1,247,395","595,398","646,554","5,443"
,22-May,...,"701,733","259,739","403,477","38,517","267,692","25,964","4,182","1,899,840","1,254,125","577,537","666,060","10,528"
,22-Jun,...,"1,147,456","470,150","643,677","33,629","397,048","39,457","2,096","1,566,074","1,002,156","432,020","562,434","7,702"
,22-Jul,...,"1,483,493","528,131","907,255","48,107","509,013","70,805","3,843","2,179,292","1,467,348","486,947","965,754","14,647"
,22-Aug,...,"1,309,326","440,476","808,081","60,769","420,101","83,910","6,027","2,542,508","1,794,400","667,699","1,109,628","17,073"
,22-Sep,...,"1,019,812","383,633","566,527","69,652","364,764","50,700","8,985","1,947,537","1,412,628","702,444","696,073","14,111"
,22-Oct,...,"844,706","303,779","481,242","59,685","283,933","50,242","8,100","2,033,098","1,546,044","848,122","687,768","10,154"
,22-Nov,...,"620,013","244,937","361,435","13,641","192,258","25,796",990,"1,977,092","1,472,459","923,398","545,337","3,724"
,22-Dec,...,"801,995","305,044","482,071","14,880","325,426","29,484",654,"1,974,054","1,370,912","888,649","479,060","3,203"
,23-Jan,...,"478,041","191,209","284,800","2,032","206,111","22,573",241,"2,515,830","1,670,182","1,083,839","584,804","1,539"
,23-Feb,...,"574,324","213,117","356,215","4,992","226,397","19,371",319,"2,245,197","1,476,370","1,002,158","471,625","2,587"
,23-Mar,...,"668,044","267,445","389,972","10,627","251,382","25,226",582,"3,071,873","2,093,041","1,295,857","791,947","5,237"
,23-Apr,...,"779,099","280,161","472,558","26,380","309,816","42,812","2,379","2,794,124","1,924,382","1,091,554","823,265","9,563"
,23-May,...,"1,055,182","383,489","625,790","45,903","407,094","81,136","4,683","2,487,071","1,729,542","882,418","834,791","12,333"
,23-Jun,...,"1,627,066","618,965","967,569","40,532","566,155","71,067","3,844","1,989,253","1,345,406","624,602","712,187","8,617"
,23-Jul,...,"1,954,984","657,409","1,232,480","65,095","673,062","121,348","5,919","2,729,212","1,981,539","678,153","1,285,576","17,810"
,23-Aug,...,"1,734,475","545,795","1,103,427","85,253","550,803","136,539","9,521","3,118,208","2,201,077","747,660","1,434,014","19,403"
,23-Sep,...,"1,272,877","453,479","733,812","85,586","515,305","84,742","12,772","2,319,769","1,548,703","695,142","840,073","13,488"
,23-Oct,...,"977,929","370,049","531,961","75,919","395,621","66,731","15,038","2,412,771","1,652,006","835,429","806,190","10,387"
,23-Nov,...,"713,433","277,811","422,088","13,534","246,265","34,933",699,"2,285,242","1,494,839","843,517","646,528","4,794"
,23-Dec,...,"947,494","348,846","580,070","18,578","408,061","41,958",756,"2,377,213","1,397,253","789,431","604,067","3,755"
,24-Jan,...,"505,628","216,050","288,721",857,"238,362","26,782",141,"2,827,458","1,534,540","897,757","635,571","1,212"
,24-Feb,...,"659,347","249,198","403,490","6,659","291,698","27,528",444,"2,608,988","1,411,746","880,577","528,440","2,729"
,24-Mar,...,"800,251","305,637","482,038","12,576","296,767","35,185",678,"3,446,437","2,030,842","1,080,128","944,957","5,757"
,24-Apr,...,"879,875","327,376","525,945","26,554","336,069","46,542","2,252","2,970,639","1,781,119","948,562","825,279","7,278"
,24-May,...,"1,187,726","462,394","685,263","40,069","469,494","70,244","8,244","2,723,139","1,726,007","843,392","870,862","11,753"
,24-Jun,...,"1,756,505","689,543","1,020,385","46,577","591,147","79,722","5,311","2,246,643","1,430,418","611,821","808,056","10,541"
,24-Jul,...,"2,092,830","738,127","1,288,785","65,918","699,138","122,093","8,000","2,926,062","1,978,222","641,148","1,317,874","19,200"
,24-Aug,...,"1,970,510","643,414","1,251,723","75,373","589,069","130,695","8,594","3,341,181","2,211,701","703,210","1,488,550","19,941"
,24-Sep,...,"1,243,319","508,715","652,258","82,346","500,361","80,018","13,987","2,547,772","1,612,898","672,715","926,167","14,016"
,24-Oct,...,"1,064,630","409,488","596,397","58,745","371,821","74,323","8,199","2,487,317","1,581,338","784,287","787,896","9,155"
,24-Nov,...,"853,185","317,796","524,068","11,321","226,680","40,846","1,304","2,404,356","1,444,579","803,087","637,541","3,951"
,24-Dec,...,"1,068,969","405,007","646,994","16,968","385,492","41,786","1,135","2,560,961","1,497,711","788,222","705,370","4,119"
,25-Jan,...,"606,322","239,862","364,722","1,738","235,295","27,475",457,"2,747,426","1,410,272","826,515","582,615","1,142"
,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,
..., not applicable,,,,,,,,,,,,,
p, preliminary,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,
1,"Throughout the existence of the Tourism Statistics Program, Statistics Canada introduced changes to improve the quality of its data (for example, a new data source, a new estimation method). For further information on the methodology used by Frontier Counts or the changes implemented over time, users are advised to consult the <a href=https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5005"" rel=""external noopener noreferrer"" target=""_blank"">Frontier Counts (opens new window)</a> pages.""",,,,,,,,,,,,,
2,"As of January 2022, one passenger from each bus record is considered a crew member. Prior to 2022, there were no crew from bus travellers.",,,,,,,,,,,,,
3,"As of January 2022, travellers from Primary Inspection Kiosks (PIK) who declare their purpose of trip as work are classified as other travellers"" (not as visitors)",  in order to align with UN Tourism recommendations. Prior to 2022," they were considered as visitors.""",,,,,,,,,,,
4,"As of January 2022, all ferry travellers are included in the water mode, in order to align with UN Tourism recommendations. Prior to 2022, most of these travellers were included in the land mode as either pedestrian or automobile travellers (the only exception was Fortune, in Newfoundland and Labrador).",,,,,,,,,,,,,
5,"Prior to 2022, crew residing in countries other than the United States of America entering by land were considered tourists (overnight visitors). As of January 2022, they are considered as crew (other travellers"").""",,,,,,,,,,,,,
6,"As of January 2022, non-resident travellers with a trip duration of 365 days or more are considered as other travellers"" (not as visitors). Prior to 2022"," they were reclassified as Canadian-resident visitors.""",,,,,,,,,,,,
7,"Prior to 2022, all residents of countries other than the United States of America entering by air or water were considered tourists (overnight visitors). As of January 2022, if these travellers are recorded as same-day, they will be published as excursionists.",,,,,,,,,,,,,
8,"Prior to 2022, all Canadian residents returning from countries other than the United States of America were considered tourists (overnight visitors). As of January 2022, if these travellers are recorded as same-day, they will be published as excursionists.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 24-10-0053-01  International travellers entering or returning to Canada, by type of transportation and traveller type",,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005301,,,,,,,,,,,,,,
